Company,TypeName,Inches,Weight,screen_resolution,display_type,processor_speed,processor_brand,processor_type,ssd_storage,hdd_storage,flash_storage,ram,os,Price,res_width,res_height,total_pixels,total_storage,price_per_kg,ppi,is_gaming,is_premium_brand,is_ultrabook,ram_to_ssd_ratio,log_Price,log_ram
Apple,Ultrabook,13.3,1.37,2560x1600,Quad HD,2.3,Intel, Core i5,128,0,0,8,macos,71378.6832,2560.0,1600.0,4096000.0,128,52101.22861313868,227.0,0,1,1,0.0625,11.175768558816314,2.1972245773362196
Apple,Ultrabook,13.3,1.34,1440x900,HD,1.8,Intel, Core i5,0,0,128,8,macos,47895.5232,1440.0,900.0,1296000.0,128,35742.92776119403,127.7,0,1,1,0.0,10.776798196213472,2.1972245773362196
HP,Notebook,15.6,1.86,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,no,30636.0,1920.0,1080.0,2073600.0,256,16470.967741935485,141.2,0,0,0,0.0312,10.329963707833757,2.1972245773362196
Apple,Ultrabook,15.4,1.83,2880x1800,Quad HD,2.7,Intel, Core i7,512,0,0,16,macos,135195.336,2880.0,1800.0,5184000.0,512,73877.23278688524,220.5,0,1,1,0.0312,11.814483341632057,2.833213344056216
Apple,Ultrabook,13.3,1.37,2560x1600,Quad HD,3.0,Intel, Core i5,256,0,0,8,macos,96095.808,2560.0,1600.0,4096000.0,256,70142.92554744525,227.0,0,1,1,0.0312,11.473111379006117,2.1972245773362196
Acer,Notebook,15.6,2.1,1366x768,HD,3.0,AMD, A9-Series 9420,0,500,0,4,windows,21312.0,1366.0,768.0,1049088.0,500,10148.571428571428,100.5,0,0,0,0.0,9.967072494161238,1.6094379124341003
Apple,Ultrabook,15.4,2.04,2880x1800,Quad HD,2.2,Intel, Core i7,0,0,256,16,mac,114017.6016,2880.0,1800.0,5184000.0,256,55890.98117647058,220.5,0,1,1,0.0,11.644116885995366,2.833213344056216
Apple,Ultrabook,13.3,1.34,1440x900,HD,1.8,Intel, Core i5,0,0,256,8,macos,61735.536,1440.0,900.0,1296000.0,256,46071.295522388056,127.7,0,1,1,0.0,11.03063119023011,2.1972245773362196
Asus,Ultrabook,14.0,1.3,1920x1080,Full HD,1.8,Intel, Core i7 8550U,512,0,0,16,windows,79653.6,1920.0,1080.0,2073600.0,512,61272.0,157.4,0,0,1,0.0312,11.285455066338496,2.833213344056216
Acer,Ultrabook,14.0,1.6,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,41025.6,1920.0,1080.0,2073600.0,256,25640.999999999996,157.4,0,0,1,0.0312,10.621975915807171,2.1972245773362196
HP,Notebook,15.6,1.86,1366x768,HD,2.5,Intel, Core i5 7200U,0,500,0,4,no,20986.992,1366.0,768.0,1049088.0,500,11283.329032258063,100.5,0,0,0,0.0,9.951705743636337,1.6094379124341003
HP,Notebook,15.6,1.86,1920x1080,Full HD,2.0,Intel, Core i3 6006U,0,500,0,4,no,18381.0672,1920.0,1080.0,2073600.0,500,9882.294193548387,141.2,0,0,0,0.0,9.819130859661563,1.6094379124341003
Apple,Ultrabook,15.4,1.83,2880x1800,Quad HD,2.8,Intel, Core i7,256,0,0,16,macos,130001.6016,2880.0,1800.0,5184000.0,256,71039.12655737705,220.5,0,1,1,0.0625,11.775309741545168,2.833213344056216
Dell,Notebook,15.6,2.2,1920x1080,Full HD,2.0,Intel, Core i3 6006U,256,0,0,4,windows,26581.392,1920.0,1080.0,2073600.0,256,12082.450909090909,141.2,0,0,0,0.0156,10.188004320693702,1.6094379124341003
Apple,Ultrabook,12.0,0.97,2304x1440,Full HD,1.2,Intel, Core M m3,256,0,0,8,macos,67260.672,2304.0,1440.0,3317760.0,256,69340.89896907218,226.4,0,1,1,0.0312,11.11634584374235,2.1972245773362196
Apple,Ultrabook,13.3,1.37,2560x1600,Quad HD,2.3,Intel, Core i5,256,0,0,8,macos,80908.344,2560.0,1600.0,4096000.0,256,59057.18540145985,227.0,0,1,1,0.0312,11.301084596994947,2.1972245773362196
Dell,Notebook,15.6,2.2,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,39693.6,1920.0,1080.0,2073600.0,256,18042.545454545452,141.2,0,0,0,0.0312,10.588970437272568,2.1972245773362196
Apple,Ultrabook,15.4,1.83,2880x1800,Quad HD,2.9,Intel, Core i7,512,0,0,16,macos,152274.24,2880.0,1800.0,5184000.0,512,83209.96721311475,220.5,0,1,1,0.0312,11.933444951799322,2.833213344056216
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.4,Intel, Core i3 7100U,0,1024,0,8,no,26586.72,1920.0,1080.0,2073600.0,1024,12084.872727272726,141.2,0,0,0,0.0,10.188204734039374,2.1972245773362196
Dell,Ultrabook,13.3,1.22,1920x1080,Full HD,1.6,Intel, Core i5 8250U,128,0,0,8,windows,52161.12,1920.0,1080.0,2073600.0,128,42755.016393442624,165.6,0,0,1,0.0625,10.862111839946362,2.1972245773362196
Lenovo,Gaming,15.6,2.5,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,128,1024,0,8,windows,53226.72,1920.0,1080.0,2073600.0,1152,21290.688000000002,141.2,1,0,0,0.0625,10.882334592260529,2.1972245773362196
HP,Notebook,15.6,1.86,1366x768,HD,1.5,AMD, E-Series E2-9000e,0,500,0,4,no,13746.24,1366.0,768.0,1049088.0,500,7390.451612903225,100.5,0,0,0,0.0,9.528593355673575,1.6094379124341003
Dell,2 in 1 Convertible,13.3,1.62,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,43636.32,1920.0,1080.0,2073600.0,256,26935.999999999996,165.6,0,0,0,0.0312,10.683668026512203,2.1972245773362196
HP,Ultrabook,15.6,1.91,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,35111.52,1920.0,1080.0,2073600.0,256,18382.994764397903,141.2,0,0,1,0.0312,10.466313041010059,2.1972245773362196
Dell,Notebook,15.6,2.3,1366x768,HD,2.0,Intel, Core i3 6006U,0,1024,0,4,windows,22305.1392,1366.0,768.0,1049088.0,1024,9697.886608695653,100.5,0,0,0,0.0,10.012617220008426,1.6094379124341003
Apple,Ultrabook,13.3,1.35,1440x900,HD,1.6,Intel, Core i5,0,0,128,8,mac,58554.72,1440.0,900.0,1296000.0,128,43373.86666666666,127.7,0,1,1,0.0,10.977734058532482,2.1972245773362196
Dell,Notebook,15.6,2.2,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,42624.0,1920.0,1080.0,2073600.0,256,19374.545454545452,141.2,0,0,0,0.0312,10.660196214585818,2.1972245773362196
Dell,Ultrabook,15.6,1.88,1920x1080,Full HD,1.9,Intel, Core i7 8650U,256,0,0,8,windows,69157.44,1920.0,1080.0,2073600.0,256,36785.872340425536,141.2,0,0,1,0.0312,11.14415538315185,2.1972245773362196
HP,Notebook,17.3,2.5,1920x1080,Full HD,1.6,Intel, Core i5 8250U,0,1024,0,8,windows,47738.88,1920.0,1080.0,2073600.0,1024,19095.552,127.3,0,0,0,0.0,10.773522386274244,2.1972245773362196
Chuwi,Notebook,15.6,1.89,1920x1080,Full HD,1.44,Intel, Atom x5-Z8300,0,0,64,4,windows,13053.290976,1920.0,1080.0,2073600.0,64,6906.503161904762,141.2,0,0,0,0.0,9.476872169125995,1.6094379124341003
Asus,Notebook,14.0,1.65,1366x768,HD,1.5,AMD, E-Series E2-6110,0,0,32,2,windows,13053.290976,1366.0,768.0,1049088.0,32,7911.085440000001,111.9,0,0,0,0.0,9.476872169125995,1.0986122886681098
HP,Notebook,17.3,2.71,1920x1080,Full HD,2.5,AMD, A6-Series 9220,0,500,0,4,windows,23389.92,1920.0,1080.0,2073600.0,500,8630.966789667897,127.3,0,0,0,0.0,10.060103191853011,1.6094379124341003
Dell,Ultrabook,13.3,1.2,3200x1800,Quad HD,1.8,Intel, Core i7 8550U,512,0,0,16,windows,99580.32,3200.0,1800.0,5760000.0,512,82983.6,276.1,0,0,1,0.0312,11.508729875782148,2.833213344056216
Apple,Ultrabook,13.3,1.35,1440x900,HD,1.6,Intel, Core i5,0,0,256,8,mac,53173.44,1440.0,900.0,1296000.0,256,39387.73333333333,127.7,0,1,1,0.0,10.881333108748292,2.1972245773362196
Lenovo,Notebook,14.0,1.44,1366x768,HD,1.1,Intel, Celeron Dual Core N3350,0,0,64,4,windows,13266.72,1366.0,768.0,1049088.0,64,9213.0,111.9,0,0,0,0.0,9.49308929643757,1.6094379124341003
Acer,Notebook,15.6,2.1,1366x768,HD,2.7,Intel, Core i3 7130U,0,1024,0,4,linux,19553.76,1366.0,768.0,1049088.0,1024,9311.314285714285,100.5,0,0,0,0.0,9.88097401403836,1.6094379124341003
Dell,Notebook,17.3,2.8,1920x1080,Full HD,1.6,Intel, Core i5 8250U,128,1024,0,8,windows,52161.12,1920.0,1080.0,2073600.0,1152,18628.97142857143,127.3,0,0,0,0.0625,10.862111839946362,2.1972245773362196
HP,Notebook,15.6,1.86,1366x768,HD,2.5,Intel, Core i5 7200U,0,1024,0,4,windows,26037.4032,1366.0,768.0,1049088.0,1024,13998.603870967741,100.5,0,0,0,0.0,10.167327773397746,1.6094379124341003
HP,Notebook,15.6,2.1,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,46833.12,1920.0,1080.0,2073600.0,256,22301.485714285714,141.2,0,0,0,0.0312,10.754367276099781,2.1972245773362196
Asus,Notebook,15.6,2.0,1920x1080,Full HD,2.0,Intel, Core i3 6006U,0,1024,0,4,linux,20725.92,1920.0,1080.0,2073600.0,1024,10362.96,141.2,0,0,0,0.0,9.939188617449547,1.6094379124341003
Dell,Gaming,15.6,2.65,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,79866.72,1920.0,1080.0,2073600.0,1280,30138.38490566038,141.2,1,0,0,0.0625,11.288127045116099,2.833213344056216
Asus,Notebook,15.6,2.3,1366x768,HD,2.5,Intel, Core i5 7200U,0,1024,0,8,linux,27864.9072,1366.0,768.0,1049088.0,1024,12115.177043478263,100.5,0,0,0,0.0,10.235159256444781,2.1972245773362196
Acer,Notebook,15.6,2.2,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,4,windows,36336.96,1920.0,1080.0,2073600.0,256,16516.8,141.2,0,0,0,0.0156,10.500618203885733,1.6094379124341003
Dell,2 in 1 Convertible,17.3,2.77,1920x1080,Full HD,1.6,Intel, Core i5 8250U,0,1024,0,12,windows,53226.72,1920.0,1080.0,2073600.0,1024,19215.42238267148,127.3,0,0,0,0.0,10.882334592260529,2.5649493574615367
Apple,Ultrabook,13.3,1.37,2560x1600,Quad HD,2.0,Intel, Core i5,256,0,0,8,macos,75604.32,2560.0,1600.0,4096000.0,256,55185.63503649635,227.0,0,1,1,0.0312,11.233281930062116,2.1972245773362196
Asus,Gaming,17.3,3.2,1920x1080,Full HD,3.0,AMD, Ryzen 1700,256,1024,0,8,windows,69210.72,1920.0,1080.0,2073600.0,1280,21628.35,127.3,1,0,0,0.0312,11.14492549142712,2.1972245773362196
Dell,Notebook,15.6,2.3,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,4,windows,34045.92,1920.0,1080.0,2073600.0,256,14802.57391304348,141.2,0,0,0,0.0156,10.435494852273417,1.6094379124341003
Asus,Notebook,17.3,2.8,1366x768,HD,1.1,Intel, Pentium Quad Core N4200,0,1024,0,4,windows,24828.48,1366.0,768.0,1049088.0,1024,8867.314285714287,90.6,0,0,0,0.0,10.11978693587454,1.6094379124341003
Acer,Notebook,15.6,2.2,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,44808.48,1920.0,1080.0,2073600.0,256,20367.49090909091,141.2,0,0,0,0.0312,10.7101750031603,2.1972245773362196
HP,Notebook,15.6,1.86,1920x1080,Full HD,2.5,AMD, A6-Series 9220,256,0,0,4,windows,21231.5472,1920.0,1080.0,2073600.0,256,11414.810322580644,141.2,0,0,0,0.0156,9.963290528658876,1.6094379124341003
HP,Notebook,13.3,1.49,1920x1080,Full HD,1.8,Intel, Core i7 8550U,512,0,0,8,windows,58767.84,1920.0,1080.0,2073600.0,512,39441.5033557047,165.6,0,0,0,0.0156,10.981367061450355,2.1972245773362196
Acer,Notebook,15.6,2.4,1366x768,HD,2.4,Intel, Core i3 7100U,0,1024,0,4,windows,20459.52,1366.0,768.0,1049088.0,1024,8524.800000000001,100.5,0,0,0,0.0,9.92625245462742,1.6094379124341003
Dell,Notebook,15.6,2.13,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,40908.384,1920.0,1080.0,2073600.0,256,19205.81408450704,141.2,0,0,0,0.0312,10.619114753366912,2.1972245773362196
HP,Notebook,15.6,1.91,1920x1080,Full HD,2.0,Intel, Core i3 6006U,128,0,0,4,windows,23389.92,1920.0,1080.0,2073600.0,128,12246.031413612565,141.2,0,0,0,0.0312,10.060103191853011,1.6094379124341003
Asus,Notebook,15.6,2.0,1366x768,HD,2.5,Intel, Core i5 7200U,256,0,0,4,windows,31232.2032,1366.0,768.0,1049088.0,256,15616.1016,100.5,0,0,0,0.0156,10.34923701306093,1.6094379124341003
MSI,Gaming,17.3,2.43,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,2048,0,16,windows,130482.72,1920.0,1080.0,2073600.0,2304,53696.59259259259,127.3,1,1,0,0.0625,11.779003747004984,2.833213344056216
Asus,Notebook,15.6,2.0,1920x1080,Full HD,2.0,Intel, Core i3 6006U,256,0,0,4,linux,22111.2,1920.0,1080.0,2073600.0,256,11055.6,141.2,0,0,0,0.0156,10.00388477138901,1.6094379124341003
Dell,Notebook,17.3,2.8,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,2048,0,16,windows,69210.72,1920.0,1080.0,2073600.0,2304,24718.114285714288,127.3,0,0,0,0.0625,11.14492549142712,2.833213344056216
Dell,Ultrabook,14.0,1.7,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,46833.12,1920.0,1080.0,2073600.0,256,27548.89411764706,157.4,0,0,1,0.0312,10.754367276099781,2.1972245773362196
Lenovo,Notebook,14.0,1.7,1920x1080,Full HD,2.7,Intel, Core i3 7130U,256,0,0,8,no,31914.72,1920.0,1080.0,2073600.0,256,18773.364705882355,157.4,0,0,0,0.0312,10.370853957360486,2.1972245773362196
Asus,Notebook,14.0,1.4,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,50136.48,1920.0,1080.0,2073600.0,256,35811.77142857143,157.4,0,0,0,0.0312,10.822524111175213,2.1972245773362196
HP,Notebook,15.6,1.86,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,36763.2,1920.0,1080.0,2073600.0,256,19765.16129032258,141.2,0,0,0,0.0312,10.512279824567653,2.1972245773362196
Asus,Ultrabook,15.6,1.8,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,512,0,0,16,windows,105654.24,1920.0,1080.0,2073600.0,512,58696.8,141.2,0,0,1,0.0312,11.567936619542625,2.833213344056216
HP,Notebook,15.6,1.86,1366x768,HD,2.0,Intel, Core i3 6006U,0,500,0,4,windows,23373.4032,1366.0,768.0,1049088.0,500,12566.345806451613,100.5,0,0,0,0.0,10.05939682228015,1.6094379124341003
HP,Notebook,14.0,1.44,1366x768,HD,1.6,Intel, Celeron Dual Core N3060,32,0,0,4,windows,13053.290976,1366.0,768.0,1049088.0,32,9064.7854,111.9,0,0,0,0.125,9.476872169125995,1.6094379124341003
Lenovo,Notebook,15.6,1.9,1920x1080,Full HD,2.5,Intel, Core i5 7200U,0,1024,0,4,windows,29250.72,1920.0,1080.0,2073600.0,1024,15395.115789473686,141.2,0,0,0,0.0,10.283693654349953,1.6094379124341003
Asus,Gaming,17.3,3.0,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,0,1024,0,12,linux,50562.72,1920.0,1080.0,2073600.0,1024,16854.24,127.3,1,0,0,0.0,10.830989602063529,2.5649493574615367
Microsoft,Ultrabook,13.5,1.252,2256x1504,Full HD,2.5,Intel, Core i5 7200U,128,0,0,4,windows,58021.92,2256.0,1504.0,3393024.0,128,46343.38658146965,200.8,0,0,1,0.0312,10.968593383882295,1.6094379124341003
Dell,Ultrabook,13.3,1.4,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,50882.4,1920.0,1080.0,2073600.0,256,36344.571428571435,165.6,0,0,1,0.0312,10.837292019680758,2.1972245773362196
Dell,Notebook,15.6,2.2,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,46353.6,1920.0,1080.0,2073600.0,256,21069.81818181818,141.2,0,0,0,0.0312,10.744075810945498,2.1972245773362196
MSI,Gaming,17.3,2.7,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,128,1024,0,8,windows,58341.6,1920.0,1080.0,2073600.0,1152,21607.999999999996,127.3,1,1,0,0.0625,10.974087808763938,2.1972245773362196
Acer,Notebook,14.0,2.1,1366x768,HD,2.0,Intel, Core i3 6006U,0,1024,0,8,windows,20725.92,1366.0,768.0,1049088.0,1024,9869.485714285713,111.9,0,0,0,0.0,9.939188617449547,2.1972245773362196
Asus,Gaming,15.6,2.2,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,0,1024,0,8,windows,50562.72,1920.0,1080.0,2073600.0,1024,22983.054545454543,141.2,1,0,0,0.0,10.830989602063529,2.1972245773362196
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.5,Intel, Core i5 7200U,0,2048,0,8,no,27652.32,1920.0,1080.0,2073600.0,2048,12569.236363636363,141.2,0,0,0,0.0,10.227501072075105,2.1972245773362196
Dell,Notebook,15.6,2.02,1920x1080,Full HD,1.8,Intel, Core i7 8550U,128,1024,0,8,windows,45554.4,1920.0,1080.0,2073600.0,1152,22551.68316831683,141.2,0,0,0,0.0625,10.726684446704295,2.1972245773362196
Acer,Notebook,15.6,2.2,1920x1080,Full HD,2.7,Intel, Core i3 7130U,0,1024,0,4,windows,28238.4,1920.0,1080.0,2073600.0,1024,12835.636363636364,141.2,0,0,0,0.0,10.248473444922546,1.6094379124341003
HP,Notebook,17.3,2.5,1920x1080,Full HD,1.6,Intel, Core i5 8250U,128,1024,0,8,windows,52054.56,1920.0,1080.0,2073600.0,1152,20821.824,127.3,0,0,0,0.0625,10.86006688870326,2.1972245773362196
Dell,Ultrabook,15.6,1.88,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,58403.4048,1920.0,1080.0,2073600.0,256,31065.64085106383,141.2,0,0,1,0.0312,10.975146590629556,2.1972245773362196
Apple,Ultrabook,12.0,0.97,2304x1440,Full HD,1.3,Intel, Core i5,512,0,0,8,macos,80452.8,2304.0,1440.0,3317760.0,512,82941.03092783506,226.4,0,1,1,0.0156,11.295438385612048,2.1972245773362196
HP,Notebook,14.0,1.63,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,45820.8,1920.0,1080.0,2073600.0,256,28110.92024539878,157.4,0,0,0,0.0312,10.732515239391274,2.1972245773362196
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.5,AMD, A6-Series 9220,128,0,0,4,windows,21258.72,1920.0,1080.0,2073600.0,128,9663.054545454544,141.2,0,0,0,0.0312,9.964569481536397,1.6094379124341003
Acer,Notebook,15.6,2.1,1366x768,HD,3.0,AMD, A9-Series 9420,0,1024,0,4,windows,21045.6,1366.0,768.0,1049088.0,1024,10021.714285714284,100.5,0,0,0,0.0,9.954494305874713,1.6094379124341003
Dell,Gaming,15.6,2.65,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,128,1024,0,16,windows,71874.72,1920.0,1080.0,2073600.0,1152,27122.535849056607,141.2,1,0,0,0.125,11.182693795440782,2.833213344056216
HP,Ultrabook,15.6,1.83,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,37242.72,1920.0,1080.0,2073600.0,256,20351.213114754097,141.2,0,0,1,0.0312,10.525238618990686,2.1972245773362196
HP,Notebook,15.6,1.96,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,31914.1872,1920.0,1080.0,2073600.0,256,16282.748571428572,141.2,0,0,0,0.0312,10.370837263253403,2.1972245773362196
Asus,Gaming,15.6,2.2,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,128,1024,0,16,windows,77202.72,1920.0,1080.0,2073600.0,1152,35092.145454545454,141.2,1,0,0,0.125,11.25420292138043,2.833213344056216
Dell,Ultrabook,13.3,1.21,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,87858.72,1920.0,1080.0,2073600.0,256,72610.51239669422,165.6,0,0,1,0.0312,11.38349673063646,2.1972245773362196
Asus,Gaming,15.6,2.45,1920x1080,Full HD,3.0,AMD, FX 9830P,0,1024,0,8,windows,37242.72,1920.0,1080.0,2073600.0,1024,15201.110204081631,141.2,1,0,0,0.0,10.525238618990686,2.1972245773362196
Acer,Notebook,15.6,2.2,1920x1080,Full HD,1.8,Intel, Core i7 8550U,0,1024,0,4,windows,36709.92,1920.0,1080.0,2073600.0,1024,16686.32727272727,141.2,0,0,0,0.0,10.510829537468052,1.6094379124341003
HP,Notebook,13.3,1.49,1920x1080,Full HD,1.8,Intel, Core i7 8550U,512,0,0,16,windows,63776.16,1920.0,1080.0,2073600.0,512,42802.79194630873,165.6,0,0,0,0.0312,11.06315041150742,2.833213344056216
Dell,Gaming,15.6,2.65,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,256,0,0,8,windows,63669.6,1920.0,1080.0,2073600.0,256,24026.264150943396,141.2,1,0,0,0.0312,11.061478196557058,2.1972245773362196
Asus,Ultrabook,14.0,1.25,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,55890.72,1920.0,1080.0,2073600.0,256,44712.576,157.4,0,0,1,0.0312,10.9311715265263,2.1972245773362196
Acer,2 in 1 Convertible,13.3,1.5,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,45128.16,1920.0,1080.0,2073600.0,256,30085.440000000002,165.6,0,0,0,0.0312,10.717283879751747,2.1972245773362196
Dell,Notebook,15.6,2.2,1920x1080,Full HD,2.7,Intel, Core i7 7500U,0,1024,0,8,linux,31962.672,1920.0,1080.0,2073600.0,1024,14528.48727272727,141.2,0,0,0,0.0,10.372355286897466,2.1972245773362196
